PN結	PN接面 PN結
SQL注入	SQL隱碼攻擊 SQL注入
SQL注入攻擊	SQL隱碼攻擊 SQL注入攻擊
U盤	隨身碟 U盤
三極管	三極體 三極管
下拉列表	下拉選單 下拉列表
並行計算	平行計算 並行計算
中間件	中介軟體 中間件
串口	串列埠 串口
串行	序列 串行
串行端口	串列埠 串行端口
主引導記錄	主開機記錄 主引導記錄
主板	主機板 主板
二極管	二極體 二極管
互聯網	網際網路 互聯網
交互	互動 交互
交互式	互動式 交互式
人工智能	人工智慧 人工智能
代碼	程式碼 代碼 代碼
代碼頁	內碼表 代碼頁
以太網	乙太網 以太網
任務欄	工作列 任務欄
任務管理器	工作管理員 任務管理器
仿真	模擬 仿真
位圖	點陣圖 位圖
低級	低階 低級 低級
便攜式	行動式 攜帶型 便攜式
保存	儲存 保存
信噪比	訊雜比 信噪比
信息	資訊 信息
信息安全	資訊保安 信息安全
信息技術	資訊科技 信息技術
信息論	資訊理論 信息論
信號	訊號 信號 信號
信道	通道 信道
傳感	感測 傳感
像素	畫素 像素
偽代碼	虛擬碼 偽代碼
僞代碼	虛擬碼 僞代碼
優先級	優先順序 優先級
優化	最佳化 優化
元數據	後設資料 元數據
元編程	超程式設計 元編程
光標	游標 光標
光盤	光碟 光盤
光驅	光碟機 光驅
免提	擴音 免提
內存	記憶體 內存
內核	核心 內核
內置	內建 內置
內聯函數	行內函數 內聯函數
全局	全域性 全局
全角	全形 全角
兼容	相容 兼容
冒泡排序	氣泡排序 冒泡排序
函數	函式 函數
函數式編程	函數語言程式設計 函數式編程
刀片服務器	刀鋒伺服器 刀片服務器
分佈式	分散式 分佈式
分區	分割槽 分區
分辨率	解析度 分辨率
刷新	重新整理 刷新
刻錄	燒錄 刻錄
前綴	字首 前綴
剪切	剪下 剪切
剪貼板	剪貼簿 剪貼板
創建	建立 創建
加載	載入 加載
半角	半形 半角
博客	部落格 博客
卸載	解除安裝 卸載
原代碼	原始碼 原代碼
參數	引數 參數
參數表	參數列 參數表
句柄	控制代碼 句柄
可視化	視覺化 可視化
呼出	撥出 呼出
呼叫轉移	來電轉駁 呼叫轉移
命令式編程	指令式程式設計 命令式編程
命令行	命令列 命令行
命名空間	名稱空間 命名空間
哈希	雜湊 哈希
單片機	微控制器 單片機
回調	回撥 回調
固件	韌體 固件
圖像	影象 圖像
圖庫	相簿 圖庫
圖標	圖示 圖標
在線	線上 在線
地址	地址 位址 地址
地址欄	位址列 地址欄
城域網	都會網路 城域網
堆棧	堆疊 堆棧
場效應管	場效電晶體 場效應管
壁紙	桌布 壁紙 壁紙
外置	外接 外置
外鍵	外來鍵 外鍵
多任務	多工 多任務
多態	多型 多態
多線程	多執行緒 多線程
字庫	字型檔 字庫
字段	欄位 字段
字符	字元 字符
