乍得	查德 乍得
也門	葉門 也門
仙童半導體	快捷半導體 仙童半導體
伯利茲	貝里斯 伯利茲
佛得角	維德角 佛得角
傅里葉	傅立葉 傅里葉
克羅地亞	克羅埃西亞 克羅地亞
列支敦士登	列支敦斯登 列支敦士登
利比里亞	賴比瑞亞 利比里亞
加納	迦納 加納
加蓬	加彭 加蓬
博茨瓦納	波札那 博茨瓦納
卡塔爾	卡達 卡塔爾
危地馬拉	瓜地馬拉 危地馬拉
厄瓜多爾	厄瓜多 厄瓜多爾
厄立特里亞	厄利垂亞 厄立特里亞
吉布堤	吉布地 吉布堤
哈薩克斯坦	哈薩克 哈薩克斯坦
哥斯達黎加	哥斯大黎加 哥斯達黎加
吃茶小舖	吃茶小舖 吃茶小舖
喫茶小舖	喫茶小舖 喫茶小舖
圖瓦盧	吐瓦魯 圖瓦盧
土庫曼斯坦	土庫曼 土庫曼斯坦
圭亞那	蓋亞那 圭亞那
坦桑尼亞	坦尚尼亞 坦桑尼亞
埃塞俄比亞	衣索比亞 埃塞俄比亞
基里巴斯	吉里巴斯 基里巴斯
塔吉克斯坦	塔吉克 塔吉克斯坦
塞拉利昂	獅子山 塞拉利昂
塞浦路斯	塞普勒斯 塞浦路斯
塞舌爾	塞席爾 塞舌爾
多米尼加	多明尼加 多米尼加
安提瓜和巴布達	安地卡及巴布達 安提瓜和巴布達
尼日利亞	奈及利亞 尼日利亞
尼日爾	尼日 尼日爾
岡比亞	甘比亞 岡比亞
巴巴多斯	巴貝多 巴巴多斯
巴布亞新幾內亞	巴布亞紐幾內亞 巴布亞新幾內亞
布基納法索	布吉納法索 布基納法索
布隆迪	蒲隆地 布隆迪
帕勞	帛琉 帕勞
幾內亞比紹	幾內亞比索 幾內亞比紹
意大利	義大利 意大利
所羅門群島	索羅門群島 所羅門群島
所羅門羣島	索羅門羣島 所羅門羣島
文萊	汶萊 文萊
斯威士蘭	史瓦濟蘭 斯威士蘭
斯洛文尼亞	斯洛維尼亞 斯洛文尼亞
新西蘭	紐西蘭 新西蘭
格林納達	格瑞那達 格林納達
格魯吉亞	喬治亞 格魯吉亞
歐拉	尤拉 歐拉
毛里塔尼亞	茅利塔尼亞 毛里塔尼亞
毛里求斯	模里西斯 毛里求斯
沙特阿拉伯	沙烏地阿拉伯 沙特阿拉伯
波斯尼亞黑塞哥維那	波士尼亞赫塞哥維納 波斯尼亞黑塞哥維那
津巴布韋	辛巴威 津巴布韋
洪都拉斯	宏都拉斯 洪都拉斯
溫納圖萬	那杜 溫納圖萬
烏茲別克斯坦	烏茲別克 烏茲別克斯坦
特立尼達和多巴哥	千里達及托巴哥 特立尼達和多巴哥
瑙魯	諾魯 瑙魯
瓦努阿圖	萬那杜 瓦努阿圖
盧旺達	盧安達 盧旺達
科摩羅	葛摩 科摩羅
科特迪瓦	象牙海岸 科特迪瓦
突尼斯	突尼西亞 突尼斯
純吃茶	純吃茶 純吃茶
純喫茶	純喫茶 純喫茶
索馬里	索馬利亞 索馬里
老撾	寮國 老撾
聖基茨和尼維斯	聖克里斯多福及尼維斯 聖基茨和尼維斯
聖文森特和格林納丁斯	聖文森及格瑞那丁 聖文森特和格林納丁斯
聖盧西亞	聖露西亞 聖盧西亞
聖馬力諾	聖馬利諾 聖馬力諾
肯尼亞	肯亞 肯尼亞
莫桑比克	莫三比克 莫桑比克
萊索托	賴索托 萊索托
萬象	永珍 萬象
蘇里南	蘇利南 蘇里南
貝寧	貝南 貝寧
贊比亞	尚比亞 贊比亞
阿塞拜疆	亞塞拜然 阿塞拜疆
阿拉伯聯合酋長國	阿拉伯聯合大公國 阿拉伯聯合酋長國
香農	夏農 香農
馬爾代夫	馬爾地夫 馬爾代夫
馬里共和國	馬利共和國 馬里共和國
